book,num,title,title2,originalTitle,composer,composer2,author,author2,theme
JEM,873,Nous te donnons,O Seigneur enseigne-nous,,"Ternisien, Nicolas",Nicolas Ternisien,"Ternisien, Nicolas",Nicolas Ternisien,Consécration
JEM,874,"Merveilleux, si merveilleux","Dieu merveilleux, je t'aime",Beautifull One,"Hughes, Tim",Tim Hughes,"Hughes, Tim",Tim Hughes,Adoration
JEM,875,Mon plus cher désir,Je te donne mon cœur,This is my desire,"Morgan, Reuben",Reuben Morgan,"Morgan, Reuben",Reuben Morgan,Consécration
JEM,876,Mon rédempteur vit,Je sais qu'il m'a secouru,My Redeemer Lives,"Morgan, Reuben",Reuben Morgan,"Morgan, Reuben",Reuben Morgan,Confession
JEM,877,Mon seul souhait,Tu es mon maître,,"de Katow, Pierre-Nicolas",Pierre-Nicolas de Katow,"de Katow, Pierre-Nicolas",Pierre-Nicolas de Katow,Consécration
JEM,878,Nous nous tournons vers toi,Car tu es le seul digne de recevoir,,"Freymond, Sylvain",Sylvain Freymond,"Freymond, Sylvain",Sylvain Freymond,Adoration
JEM,879,Nous sommes une maison,Tu es l'oasis au milieu du désert,,"Freymond, Sylvain",Sylvain Freymond,"Freymond, Sylvain",Sylvain Freymond,Eglise
JEM,880,Nous voulons voir Jésus,"Nous avons soif, nous avons faim",,"Berning, Pat",Pat Berning,"Berning, Pat",Pat Berning,Evangélisation
JEM,881,Pour toi seul,,,Air argentin,Air argentin,Inconnu,Inconnu,Joie et célébration
JEM,882,"Que jamais, ô mon Seigneur",Donne-moi un cœur qui aime,,"Pialat, Daniel",Daniel Pialat,"Pialat, Daniel",Daniel Pialat,Consécration
JEM,883,Ressuscité,Ils avaient scellé la pierre,,"Picotin, Richard",Richard Picotin,"Picotin, Richard",Richard Picotin,Proclamation
JEM,884,Saint est le Seigneur,"Le salut, la gloire",,"Siounath, Charly & Isabelle",Isabelle & Charly Siounath,"Siounath, Charly & Isabelle",Isabelle & Charly Siounath,Adoration
JEM,885,Seule voie,J'abandonne ma vie à tes pieds,One way,"Douglass, Jonathan ; Houston, Joël",Jonathan Douglass ; Joël Houston,"Douglass, Jonathan ; Houston, Joël",Jonathan Douglass ; Joël Houston,Evangélisation
JEM,886,Si ton ciel,N'oublie jamais,,"Schneider, Rolf",Rolf Schneider,"Schneider, Rolf",Rolf Schneider,Identité
JEM,887,Soleil levant,Tu es le soleil levant,,"Durham, David ; Reymond, François",David Durham ; François Reymond,"Durham, David ; Reymond, François",David Durham ; François Reymond,Adoration
JEM,888,Tu lis dans mon coeur,Et je vis pour ça,,"Ternisien, Nicolas",Nicolas Ternisien,"Ternisien, Nicolas",Nicolas Ternisien,Confession
JEM,889,Tu n'as pas choisi,Nous t'adorons Fils de Dieu,,"Freymond, Sylvain",Sylvain Freymond,"Freymond, Sylvain",Sylvain Freymond,Jésus-Christ
JEM,890,Tu oublies,Car tu maintiens l'univers,,"Hausammann, Pascal",Pascal Hausammann,"Hausammann, Pascal",Pascal Hausammann,Proclamation
JEM,891,Yeshoua,Je fléchis le genou devant le fils de Dieu,,"Fernandez, Rafaël ; Schneider, Rolf",Rafaël Fernandez ; Rolf Schneider,"Fernandez, Rafaël ; Schneider, Rolf",Rafaël Fernandez ; Rolf Schneider,Jésus-Christ
